,TotalPopulation,Total Males By Age,Total Females by Age,state,county,tract,block group
381,327,168,159,02,020,000600,8
382,1476,709,767,02,122,000600,5
383,2657,1099,1558,02,122,000500,3
384,887,466,421,02,020,002711,1
385,2691,1570,1121,02,016,000200,2
386,454,230,224,02,020,002202,2
387,874,483,391,02,020,002100,2
388,864,331,533,02,020,002501,4
389,2042,990,1052,02,170,000800,3
390,775,429,346,02,180,000100,1
391,192,168,24,02,020,002900,1
392,3002,1450,1552,02,185,000100,1
393,826,430,396,02,070,000100,1
394,1360,716,644,02,090,001300,5
395,707,409,298,02,090,001300,4
396,1454,708,746,02,090,000400,4
397,2478,1384,1094,02,090,001200,3
398,1443,765,678,02,090,000200,2
399,732,335,397,02,090,000600,3
400,2439,1248,1191,02,090,000900,2
401,577,301,276,02,090,001400,4
402,1160,573,587,02,090,001400,2
403,1275,705,570,02,090,000700,2
404,1049,663,386,02,020,002501,3
405,1456,892,564,02,020,002501,5
406,1902,790,1112,02,020,002603,1
407,2679,1182,1497,02,020,002702,2
408,2308,1089,1219,02,020,002702,1
409,1404,780,624,02,020,000801,4
410,553,181,372,02,020,000801,5
411,1138,581,557,02,020,000802,4
412,1407,726,681,02,122,000600,6
413,517,244,273,02,122,001100,1
414,526,338,188,02,122,000100,1
415,1355,701,654,02,122,001300,1
416,3387,1901,1486,02,090,001800,2
417,1159,852,307,02,090,001900,3
418,3885,2097,1788,02,090,001900,4
419,989,575,414,02,090,001700,1
420,1042,588,454,02,180,000100,5
421,981,553,428,02,020,001400,4
422,859,484,375,02,020,001400,2
423,1546,954,592,02,122,000700,2
424,1450,826,624,02,122,000700,6
425,2567,1264,1303,02,122,000400,2
426,1766,783,983,02,122,000500,1
427,995,454,541,02,020,001200,4
428,921,362,559,02,020,001601,1
429,853,421,432,02,020,001701,5
430,945,492,453,02,020,001701,1
431,1577,786,791,02,020,002601,3
432,940,397,543,02,020,002711,2
433,1603,775,828,02,020,002821,1
434,608,313,295,02,261,000300,3
435,239,135,104,02,261,000100,4
436,1169,753,416,02,122,000200,4
437,912,500,412,02,122,000800,3
438,926,521,405,02,122,000800,4
439,14,0,14,02,198,000300,1
440,812,471,341,02,105,000300,2
441,1039,569,470,02,198,940100,2
442,390,194,196,02,198,000200,3
443,190,103,87,02,130,000100,5
444,2251,1177,1074,02,170,001004,2
445,1993,1032,961,02,170,001003,1
446,1843,952,891,02,170,000703,2
447,2467,1328,1139,02,170,000705,1
448,1716,922,794,02,020,002201,2
449,745,444,301,02,020,002900,3
450,690,419,271,02,020,002900,2
451,1685,880,805,02,050,000100,1
452,1083,524,559,02,050,000100,6
453,368,205,163,02,050,000300,2
454,1896,970,926,02,050,000200,2
455,863,497,366,02,185,000200,1
456,1455,831,624,02,185,000100,2
457,706,385,321,02,220,000100,5
458,1318,716,602,02,020,002400,2
459,1669,1108,561,02,020,000703,4
460,939,556,383,02,020,000703,3
461,2055,1157,898,02,020,000701,3
462,1663,838,825,02,020,000701,2
463,1015,525,490,02,180,000100,4
464,851,404,447,02,020,001500,4
465,1252,659,593,02,020,001500,2
466,974,654,320,02,016,000100,1
467,1536,818,718,02,150,000500,1
468,598,358,240,02,020,001731,1
469,1416,757,659,02,020,001731,4
470,1036,590,446,02,020,001801,1
471,727,400,327,02,020,002202,1
472,2177,961,1216,02,020,002301,3
473,1198,639,559,02,020,002303,5
474,1630,867,763,02,020,002303,2
475,4115,2054,2061,02,020,002812,1
476,1555,750,805,02,020,000202,3
477,891,468,423,02,130,000100,2
478,2482,1214,1268,02,130,000200,2
479,1027,549,478,02,130,000300,2
480,3017,1516,1501,02,170,000300,2
481,1623,797,826,02,170,000800,1
482,1650,846,804,02,170,001300,3
483,1267,588,679,02,170,001300,2
484,3482,1721,1761,02,170,001100,2
485,751,373,378,02,180,000200,3
486,1536,768,768,02,180,000200,4
487,2430,1395,1035,02,020,000101,2
488,1423,621,802,02,020,001300,1
489,1153,648,505,02,020,001602,4
490,1392,605,787,02,020,001602,2
491,2826,1565,1261,02,020,002301,1
492,604,347,257,02,188,000200,3
493,1112,505,607,02,020,002822,2
494,843,558,285,02,013,000100,1
495,1015,631,384,02,220,000100,4
496,453,202,251,02,220,000200,4
497,327,115,212,02,220,000200,6
498,1685,764,921,02,090,000300,2
499,1645,908,737,02,090,001500,2
500,954,459,495,02,020,002000,4
501,445,232,213,02,020,002100,4
502,557,255,302,02,020,002100,1
503,1495,723,772,02,020,002302,3
